Name,Address,Year,Keywords,Latitude,Longitude,Belongs_to_Berlin,matched_styles,matched_types
evangelische Dorfkirche Kaulsdorf,Berlin Bezirk Marzahn-Hellersdorf Kaulsdorf Dorfstraße,,Barock Neugotik Denkmalschutz Saalkirche barocker neogotischen Stil Zeltform neogotischen Kindertagesstätte abgewalmtes Satteldach gusseiserne ornamental barocke Emporen liturgischen Geräte neobarocken Kindergarten Kirche,52.508638,13.5796018,True,Mittelalter - Gotik,Industriegebäude - Silo
Österreichische Abteilung der »Reise- und Fremdenverkehrsausstellung«,Berlin,1911,,52.52000659999999,13.404954,True,,
Kapelle Sankt Michael in der Kurie des katholischen Militärbischofs,Berlin Bezirk Mitte Mitte Am Weidendamm 2,2001,Innenarchitektur Kapelle,52.5219217,13.3899111,True,Antike - Römische Architektur,
Kirche Sankt Marien am Behnitz,Berlin Bezirk Spandau Spandau Behnitz 9;Am Juliusturm,2002–2003,römisch-katholischen restauriert Denkmalschutz Dominikanerpater patrozinium Petrus OP Patrozinium Maria Fachwerkbau Normalkirche Basilika neugotische Fassade Kassettendecke marmorierten wimpergartigen Petrus Patrone Pfarrhaus Anna Empore Sanierung liturgisch Restaurierung Sandstein Basilika pilaster Fensterrose empore Gewölbe Maßwerk Ursula von Köln Laterne Anna Granit Augustinus Maria Franz von Assisi Kirche Glaubensrichtung: katholisch,52.5392071,13.2079296,True,Historismus - Neugotik,Öffentliche Gebäude - Palast
Amerika-Gedenkbibliothek,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Blücherplatz1,1951,Bibliothek,52.4983442,13.4065791,True,,
Schlosstheater Charlottenburg,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Spandauer Damm22,1789–1791,Innenarchitektur Museum Theater,52.5190608,13.2906622,True,Antike - Römische Architektur,Öffentliche Gebäude - Mausoleum
Wohnungsbau Seesener Straße,Berlin Bezirk Charlottenburg-Wilmersdorf Halensee Seesener Straße 70a-f,1992–1994,Balkon Block Geschosswohnung Küche Lage: Stadt Mauerwerk Schallschutz Wohnheim,52.48912,13.3002,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Altstadt
"Gebäude A8, Hallen und Brücke [AEG-Kabelwerk Oberspree]",Berlin Bezirk Treptow-Köpenick Oberschöneweide Wilhelminenhofstraße83-85,1922,Industriebau Fabrik Internationaler Stil,52.4614389,13.5174632,True,Moderne - Internationaler Stil,Industriegebäude - Industriebau
Gartenstadt Falkenberg (»Tuschkastensiedlung«),Berlin Bezirk Treptow-Köpenick Bohnsdorf Akazienhof; Gartenstadtweg,1913–1915,Gartenstadt Denkmalschutz Gartenstadt Wohnanlage,52.4106826,13.5675247,True,,Öffentliche Gebäude - Altstadt
erhaltene Reste der Stadtmauer,Berlin Bezirk Mitte Mitte Waisenstraße 14-16,um 1260-1280,Stadttore Denkmalschutz Ziegeln Türme Museumsinsel Stadtmauer,52.5173631,13.4137857,True,,Sonstige Gebäude - Stadt
A trans Pavillon,Berlin Bezirk Mitte Mitte Rosenthaler Straße40/41,ca. 1999,1-geschossig Betonkonstruktion Durchblicke Einfach Bauen Form: Kubus Geschäft Design-Geschäft Verglasung,52.52401829999999,13.4023995,True,,
Wohnhaus in der Versuchssiedlung »Am Fischtal«,Berlin Bezirk Steglitz-Zehlendorf Zehlendorf Am Fischtal4,1928,Wohnhaus,52.43507719999999,13.2604251,True,,
Bundeskanzleramt,Berlin Bezirk Mitte Tiergarten Willy-Brandt-Straße1;Moltkestraße,1995,Bürogebäude Form: amorph Kombibüro Regierungsgebäude Wettbewerb Plangrafik mehrgeschossig,52.5215109,13.369435,True,,Öffentliche Gebäude - Regierungsgebäude
Standbild König Friedrichs II.,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Spandauer Damm;Luisenplatz,ca. 1790,Denkmal,52.5195367,13.2995368,True,,
Gläserne Halle am Bahnhof Zoo,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Hardenbergplatz,1948,Abfertigungshalle Flughafengebäude Halle skulpturaler Bau,52.5074622,13.3332618,True,,Industriegebäude - Halle
Haus Maurer,Berlin Bezirk Steglitz-Zehlendorf Dahlem Am Erlenbusch 14a,1933,Einfamilienhaus Flachdach Internationaler Stil Solitär Terrasse,52.46479249999999,13.3019953,True,Moderne - Internationaler Stil,Wohngebäude - Einfamilienhaus
Grabmal des Bildhauers Hermann Engelhardt,Berlin Bezirk Steglitz-Zehlendorf Dahlem Königin-Luise-Straße57,1916,Grabmal,52.4580505,13.2907491,True,,
"Stadtvilla an der Rauchstraße, Haus 1",Berlin Bezirk Mitte Tiergarten Thomas-Dehler-Straße7;Drakestraße,1983–1985,"5-geschossig Appartement Eckhaus Geschosswohnung IBA 1984 (Berlin) Lochfassade Mauerwerksfassade aus Ziegel Mehrfamilienhaus Satteldach Solitär Wettbewerb, 1. Preis",52.5089918,13.3443679,True,,Wohngebäude - Einfamilienhaus
Preußisches Geheimes Staatsarchiv,Berlin Bezirk Steglitz-Zehlendorf Dahlem Archivstraße 12-14,1914–1924,Freimaurer Johanniter-Ordensschloss,52.4612214,13.2926252,True,,
AEG-Apparate,Berlin Bezirk Mitte Mitte Ackerstraße94,ca. 1945,Industriebau Fabrik,52.519444,13.406667,True,,Industriegebäude - Industriebau
Wohnen »Am Karlsbad«,Berlin Bezirk Mitte Tiergarten Am Karlsbad1-2;Potsdamer Straße; Bissingzeile,1984–1987,Eckhaus IBA 1984 (Berlin) Mehrfamilienhaus Fassadenraster,52.5095667,13.3735204,True,,Wohngebäude - Einfamilienhaus
Bundeskanzleramt,Berlin Bezirk Mitte Tiergarten Willy-Brandt-Straße1;Moltkestraße,1995,4-geschossig 8-geschossig Achse Arkadengang Bürogebäude Fassadenproportion Fassadenschichtung Innenhof Lage: Fluß Regierungsgebäude Zonierung zweihüftig,52.5215109,13.369435,True,,Öffentliche Gebäude - Regierungsgebäude
Siedlung Haselhorst,Berlin Bezirk Spandau Haselhorst Burscheider Weg,1929,Wohnanlage Wettbewerb,52.5443918,13.237003,True,,
Marienkirche,Berlin Bezirk Mitte Mitte Karl-Liebknecht-Straße8,um 1270/1280,Kirchengebäudes Pfarrkirche Gotisches Hauptportal Hallenkirche Backsteingotik Barockstil Kirchengebäude Kirchengebäude Hallenkirche Sterngewölbe Kapelle neugotisches neugotischen franziskanisch kompositen Salvators gotische ionischen barocken Gotik Kirche Hallenkirche Pfarrkirche Sankt Maria,52.5205347,13.4071243,True,Mittelalter - Gotik,Öffentliche Gebäude - Technikgebäude
IBM-Verwaltung,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Ernst-Reuter-Platz2,1959–1963,Rechenzentrum skelettbau 9-geschossig Bürogebäude Hochhaus Skelettbau aus Beton,52.5126123,13.3218751,True,,
"Kunstgewerbe-Museum, Kunstbibliothek und Kupferstichkabinett",Berlin Bezirk Mitte Tiergarten Tiergartenstraße5-11,1962–1985,Mauerwerksfassade aus Ziegel Museum Skelettbau aus Beton Museum für Kunstgewerbe Spätwerk,52.5107402,13.3688552,True,,Öffentliche Gebäude - Mausoleum
Landhaus Lemke (Mies van der Rohe Haus),Berlin Bezirk Lichtenberg Alt-Hohenschönhausen Oberseestraße 60,1930–1933,Neuen Bauens Flachdach 1-geschossig Einfamilienhaus Flachdach Baustil Bauhaus,52.5492618,13.49083,True,Moderne - Bauhaus,Wohngebäude - Einfamilienhaus
Weiße Stadt,Berlin Bezirk Reinickendorf Reinickendorf Schillerring,,Klassischen Moderne Kindergarten Internationaler Stil Wohnanlage,52.5693063,13.352415,True,Moderne - Internationaler Stil,Industriegebäude - Silo
Villa Kuehl,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Akazienallee 14,,Einfamilienhaus Jugendstil,52.5181388,13.2738919,True,Historismus - Jugendstil,Wohngebäude - Einfamilienhaus
Liebermann-Villa,Berlin Bezirk Steglitz-Zehlendorf Wannsee Colomierstraße 3,1909,Tonnengewölbe Garten Lage: See Neoklassizismus Solitär Walmdach Villa,52.4289943,13.1646036,True,Klassizismus - Klassizismus,Wohngebäude - Gartenhaus
Wohnkomplex in Lichtenberg-Nord,Berlin Bezirk Lichtenberg(Nord),1972–1973,Mehrfamilienhaus Wohnanlage,52.53359039999999,13.4998575,True,,Wohngebäude - Einfamilienhaus
Berlin Museum,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Lindenstraße14,1733–1735,Barock Gerichtsgebäude Umnutzung Historismus,52.5022724,13.3954512,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Verkehrsgebäude
Eternit-Gästehaus,Berlin Bezirk Charlottenburg-Wilmersdorf Grunewald Baraschstraße 12A (Wissmannstraße 12A),1955,Abtreppung Hanglage Pultdach Solitär Gästehaus Fassade aus Faserzementplatten,52.4893551,13.2731931,True,,Wohngebäude - Gartenhaus
Kaiser Friedrich-Gedächtnis-Kirche und Gemeindehaus,Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Händelallee20/22,1956–1957,moderne neugotische Internationalen Bau­aus­stel­lung 1957 (IBA 57) neugotische Historismus Rosette Wimpergen Tuff Emporen Mosaiken Guten Hirten Petrus Internationalen Bau­aus­stel­lung 1957 (IBA 57) Internationalen Bau­aus­stel­lung 1957 Aluminium Sichtbeton Johannes den Täufer Aluminium Liturgie IBA 1957 (Interbau) Kirche Glaubensrichtung: evangelisch Gedenkkirche,52.5213115,13.3433225,True,Historismus - Neugotik,Freizeiteinrichtungen - Ausstellung
Schimmelpfeng-Haus,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Kantstraße1;Breitscheidplatz,1957–1960,denkmalgeschütztes Bauensemble Sichtachse Sichtachse 9-geschossig Brückenbau Bürogebäude Lage: Platz Steinplattenfassade aus Muschelkalk,52.5047297,13.3352316,True,,Öffentliche Gebäude - Palast
Mausoleum der Königin Luise,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Schlosspark Charlottenburg,1810–1812,Mausoleum Marmor Giebelfront dorischen Sandstein Portikus Sanierungsmaßnahmen Grabmal,52.5209319,13.2956165,True,,Öffentliche Gebäude - Mausoleum
SFB-Fernsehzentrum,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Theodor-Heuss-Platz,1963–1971,Bauensemble Flachdach Brandschutzmaßnahmen Rundfunkgebäude,52.508729,13.2720344,True,,Öffentliche Gebäude - Rundfunkgebäude
Berliner Funkturm,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Hammarskjöldplatz,1926,Fernmeldeturm Aussichtsturm Stahl stuck Weltausstellung 1889 Aufzugsanlage Denkmalschutz Laterne Aufzugsanlage frühen Moderne Ausstellungsarchitektur Messegebäude Rundfunkgebäude Turm Aussichtsturm,52.5075522,13.2740713,True,Moderne - Postmoderne,Öffentliche Gebäude - Rundfunkgebäude
Einküchenhäuser Friedenau,Berlin Bezirk Tempelhof-Schöneberg Friedenau Wilhelmshöher Straße 17-20,1909,Mehrfamilienhaus Einküchenhaus,52.4723413,13.3221832,True,,Wohngebäude - Einfamilienhaus
Norwegische Botschaft,Berlin Bezirk Mitte Tiergarten Rauchstraße1,,,52.514534,13.3501015,True,,
Schloss- und Dorfkirche Buch,Berlin Bezirk Pankow Buch Alt-Buch37,1731–1736,Barock oktogonalen Pilastern Laterne Fassade toskanische Säulen Barock Kirche Zentralbau,52.64140099999999,13.496539,True,Barock/Rokoko - Barock,Freizeiteinrichtungen - Passage
Büro- und Geschäftshaus »Lindencorso«,Berlin Bezirk Mitte Mitte Unter den Linden21;Friedrichstraße;Rosmarinstraße;Charlottenstraße,1994–1996,Bürogebäude Geschäftshaus,52.516649,13.389286,True,,Gewächshäuser und Gärten - Gewächshaus
Kaufhaus Jandorf,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Wilmersdorfer Straße; Pestalozzistraße,1905–1906,Kaufhaus Umbau Wiederaufbau Blechfassade,52.5079256,13.3063298,True,Moderne - Bauhaus,
Appartementhäuser an der Friedrichsgracht,Berlin Bezirk Mitte Mitte Friedrichsgracht,1963–1967,Appartement Mehrfamilienhaus,52.5142311,13.4013059,True,,Wohngebäude - Einfamilienhaus
Max-Planck-Institut für Bildungsforschung,Berlin Bezirk Charlottenburg-Wilmersdorf Wilmersdorf Lentzeallee 94,1965–1974,Betonkonstruktion Betonfassade aus Sichtbeton Institut Mensa Plastizität Universitätsgebäude Wettbewerb,52.4683802,13.3036355,True,,
Mathiaskirche,Berlin Bezirk Charlottenburg-Wilmersdorf Wilmersdorf,1916,Kirche Wettbewerb,52.4904703,13.3144802,True,,
Wohnanlage,Berlin Bezirk Pankow Pankow Thulestraße; Talstraße; Hardangerstraße; Eschengraben,1925–1927,3-geschossig 4-geschossig Blockrandbebauung Geschosswohnung Mehrfamilienhaus Wohnanlage,52.5554263,13.4264812,True,,Wohngebäude - Einfamilienhaus
A+T Projekt am Potsdamer Platz,Berlin Bezirk Mitte Tiergarten Potsdamer Platz;Köthener Straße;Stresemannstraße,1996–1999,"Bürogebäude Stadtplanung Ecke, rund",52.5096488,13.3759441,True,,Öffentliche Gebäude - Stadtplanung
Infobox Leipziger Platz / Potsdamer Platz,Berlin Bezirk Mitte Tiergarten Leipziger Platz,1994–1995,Stützen Café Außentreppen Aufständerung Ausblick Ausstellungsgebäude Dachterrasse Farbe: rot Lage: Platz Stahlkonstruktion Außentreppe Wettbewerb Temporärarchitektur,52.5096122,13.3774304,True,Alternative/Regionale Stile - Vernakuläre Architektur,Öffentliche Gebäude - Palast
Bibliothek (come sintesi),Berlin,ca. 1987,Bibliothek,52.52000659999999,13.404954,True,,
Gartenstadt Staaken,Berlin Bezirk Spandau Staaken Am Heideberg; Am Langen Weg; Am Kleinen Platz; Zwischen den Gleisen; Am Krummen Weg,1914–1917,Gartenstadt Freitreppen ornamentalen Barocks Unterschutzstellung Denkmalschutz Gartenstadt Wohnanlage Typologie,52.5422168,13.1464959,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Altstadt
Konzertsaal und Studiobühne der Hochschule der Künste,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Hardenbergstraße32,1953–1955,Bühne Hörsaal Theater Universitätsgebäude Veranstaltung,52.5081755,13.3298036,True,,Freizeiteinrichtungen - Veranstaltung
Kunstgalerie am Kupfergraben,Berlin Bezirk Mitte Mitte Am Kupfergraben10,2006–2007,Eckhaus Kunstgalerie Lage: Kanal,52.5192959,13.3967704,True,,
Philosophisches Institut mit Bibliothek der Freien Universität Berlin,Berlin Bezirk Steglitz-Zehlendorf Dahlem Habelschwerdter Allee30,1981,Bibliothek Universitätsgebäude Formensprache,52.448209,13.2907638,True,,
Villa Konschewski,Berlin Bezirk Charlottenburg-Wilmersdorf Grunewald Gottfried-von-Cramm-Weg 33/37; Gustav-Freytag-Straße 5,1922–1924,Wohnhaus,52.4834965,13.2608279,True,,
Siedlung am Fischtalgrund,Berlin Bezirk Steglitz-Zehlendorf Zehlendorf Am Fischtal,,Stadtplanung Wohnanlage,52.4472886,13.2588324,True,,Öffentliche Gebäude - Stadtplanung
Wohnbauten in Berlin-Siemensstadt (Ringsiedlung),Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg-Nord(Großsiedlung Siemensstadt) Goebelstraße,1929–1931,Mehrfamilienhaus Siemensstadt Zeile,52.5386093,13.2750418,True,,Wohngebäude - Einfamilienhaus
Masterplan Gropiusstadt,Berlin Bezirk Neukölln Buckow,1962–1975,Bauhaus Berufliches Oberstufenzentrum Hochhaus Stadtplanung Wohnanlage Großkomplex,52.4236302,13.4366333,True,Moderne - Bauhaus,Öffentliche Gebäude - Stadtplanung
Gleichrichterwerk Niederschöneweide,Berlin Bezirk Treptow-Köpenick Niederschöneweide Adlergestell 73,1927–1928,Umspannstation S-Bahnverkehr Mauerwerk aus Ziegel,52.4491823,13.5216748,True,,
Kirche Sankt Martin,Berlin Bezirk Marzahn-Hellersdorf Kaulsdorf Giesestraße 47,1929–1930,Denkmalschutz Martin Basiliken bronzene Pfarrhaus Bauensemble Mosaik jugendstilartig Sandstein marmornes Kirche Glaubensrichtung: katholisch Mauerwerk aus Ziegel Sankt Martin Stilelemente Backsteinexpressionismus,52.5150461,13.6032941,True,Historismus - Jugendstil,Denkmalschutz - Denkmalschutz
Hauptzentrum Marzahn,Berlin Bezirk Marzahn-Hellersdorf Marzahn Helene-Weigel-Platz,1981–1988,Plattenbauweise Stahlskelettbau Fassade Foyer Geschäfte Kulturzentrum Mischnutzung Rathaus Stadtplanung Baustil,52.5271539,13.5398525,True,Moderne - Bauhaus,Öffentliche Gebäude - Stadtplanung
"Interhotel (später Forumhotel, jetzt Hotel Park Inn)",Berlin Bezirk Mitte Mitte Alexanderplatz7,1970,Hochhaus sozialistischen Moderne Casino Aufzüge Vorhangfassade Hochhaus Hotel Fassadenraster Baustil Moderne,52.5230222,13.4124047,True,Moderne - Postmoderne,
Erlöserkirche,Berlin Bezirk Mitte Tiergarten Wikingerufer 9,1909–1911,Gemeindehaus Backsteingotik Hallenkirche Satteldächer Satteldach Gemeindehaus Kirche Glaubensrichtung: evangelisch Erlöser,52.5223149,13.3302728,True,,
Rathaus,Berlin,1857,"Rathaus Wettbewerb, 1. Preis",52.52000659999999,13.404954,True,Moderne - Bauhaus,Wohngebäude - Gartenhaus
Mehrfamilienhaus in Prenzlauer Berg,Berlin Bezirk Pankow Prenzlauer Berg Pappelallee86/87,1994,7-geschossig 8-geschossig Baulücke Mehrfamilienhaus,52.5421796,13.4131789,True,,Wohngebäude - Einfamilienhaus
Theater unter den Linden,Berlin Bezirk Mitte Mitte Behrenstraße55/57;Unter den Linden;Glinkastraße,1891–1892,Theater,52.5159935,13.3868518,True,,
Kronprinzenbrücke,Berlin Bezirk Mitte Mitte Reinhardtstraße,1994–1995,Klappbrücke Beton Brücke Planer,52.5229737,13.3820187,True,,
Amerikahaus (später: Naafi-Club),Berlin Bezirk Charlottenburg-Wilmersdorf Westend Theodor-Heuss-Platz56,1931,Eckhaus Lage: Platz,52.509894,13.272642,True,,Öffentliche Gebäude - Palast
Reihenhäuser an der Schorlemerallee (Versuchssiedlung),Berlin Bezirk Steglitz-Zehlendorf Dahlem Schorlemerallee13/13A/15/15A/17/17A Berlin Bezirk Steglitz-Zehlendorf Dahlem Schorlemerallee19/19A/21/21A/23/23A Berlin Bezirk Steglitz-Zehlendorf Dahlem Schorlemerallee17B Berlin Bezirk Steglitz-Zehlendorf Dahlem Spilstraße 9;Schorlemerallee7A Berlin Bezirk Steglitz-Zehlendorf Dahlem Schorlemerallee9 Berlin Bezirk Steglitz-Zehlendorf Dahlem Schorlemerallee11 Berlin Bezirk Steglitz-Zehlendorf Dahlem Schorlemerallee12/12A/12B/12C,1925–1930,Prototyp Reihenhaus Wohnanlage,52.4681978,13.308042,True,,
IDEAL-Hochhaus in der Gropiusstadt,Berlin Bezirk Neukölln Buckow Fritz-Erler-Allee 120,,Wohngebäude Aufzüge Biergarten Hochhaus Mehrfamilienhaus Wohngebäude Aufzüge,52.4255051,13.4698539,True,,Öffentliche Gebäude - Technikgebäude
Pariser Platz 6a,Berlin Bezirk Mitte Mitte Pariser Platz6a,1995,"Bürogebäude Eckhaus Lage: Platz Wettbewerb, Ankauf",52.51689529999999,13.3778308,True,,Öffentliche Gebäude - Palast
Denkmal für A. von Graefe,Berlin Bezirk Mitte Mitte Schumannstraße,1882,Denkmal,52.5236414,13.3803318,True,,
U-Bahnhof am Reichstagsgebäude,Berlin Bezirk Mitte Tiergarten Platz der Republik,1994–1996,Bahnstation Betonkonstruktion Sichtbeton unterirdisch U-Bahnverkehr,52.5186077,13.3751713,True,,
Warenhaus A. Wertheim,Berlin Bezirk Mitte Mitte Leipziger Straße,1896–1897,Kaufhaus,52.510394,13.3905226,True,Moderne - Bauhaus,
Verwaltungsgebäude,Berlin Bezirk Tempelhof-Schöneberg Schöneberg Innsbrucker Straße 26-27,1929–1930,Baulücke Bürogebäude Fensterband,52.47993109999999,13.3428535,True,,
Berliner Philharmonie,Berlin Bezirk Mitte Tiergarten Kemperplatz,1956–1963,Stuck Rabitzdecke Foyer Edelstahl Historismus Blechfassade aus Aluminium Farbigkeit Fassade Glasbaustein Innenraum Konzerthaus Konzertsaal Philharmonie Plastischer Stil Schall Terrasse Treppe Musik im Mittelpunkt,52.5111791,13.3714771,True,Historismus - Historismus,Freizeiteinrichtungen - Passage
Canisius-Kolleg,Berlin Bezirk Mitte Tiergarten Tiergartenstraße30/31,1937–1938,Jesuitenordens Ignatius von Loyola Gymnasium Jesuiten,52.50930109999999,13.3547316,True,,
Mexikanische Botschaft,Berlin Bezirk Mitte Tiergarten Klingelhöferstraße3,2000–2001,"Beton Marmor Atrium Botschaft Eingang Sichtbeton Fassade, schräg",52.5081016,13.3511161,True,,
Bürohaus Unter den Linden,Berlin Bezirk Mitte Mitte Unter den Linden42;Unter den Linden; Neustädtische Kirchstraße,1995,Bürogebäude,52.5169522,13.385754,True,,
Neue Nationalgalerie,Berlin Bezirk Mitte Tiergarten Potsdamer Straße50,1965–1968,Klassischen Moderne Pop Art Museumsinsel Ausstellung Eingang Flachdach Glasfassade Halle Museum Museum für Kunst Raster Raumdynamik Sockel Solitär Stahlkonstruktion Struktur Stütze Außentreppe,52.506967,13.3674985,True,Moderne - Postmoderne,Öffentliche Gebäude - Mausoleum
Sankt-Norbert-Kirche,Berlin Bezirk Tempelhof-Schöneberg Schöneberg Dominicusstraße15/19,1913–1914,römisch-katholische Norbert von Xanten historisierenden byzantinischen denkmalgeschützt Gesamtensemble Emporen Beton Kirche Glaubensrichtung: katholisch Umbau Sankt Norbert,52.4828792,13.3469887,True,,Denkmalschutz - Denkmalschutz
Bebauung Breitenbachplatz,Berlin Bezirk Charlottenburg-Wilmersdorf Wilmersdorf,1928,,52.4904703,13.3144802,True,,
Haus Buchthal,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Lindenallee22; Halmstraße 13/14,1922–1923,Einfamilienhaus Umbau,52.5120464,13.2722459,True,,Wohngebäude - Einfamilienhaus
Nordische Botschaften,Berlin Bezirk Mitte Tiergarten Rauchstraße1;Stülerstraße;Klingelhöferstraße,ab 1995,Lärchenholz Kalkstein Granitplatte Ahornholz Marmor Restaurant denkmalgeschützten Penthouse Atriumhaus Botschaft Form: amorph Innenhof Ensemble,52.5096511,13.3512376,True,Moderne - Bauhaus,Denkmalschutz - Denkmalschutz
Schultheiß-Brauerei,Berlin Bezirk Mitte Tiergarten Stromstraße17,1871,Brauerei,52.5264636,13.3493792,True,,
Öffentliche Bibliothek,Berlin,ca. 1997,Bibliothek Eingang,52.52000659999999,13.404954,True,,
Erweiterung des Neuen Museums,Berlin Bezirk Mitte Mitte Am Kupfergraben,1994,Anbau Erweiterung Lage: Fluß Lochfassade Mauerwerk Museum für Kunst Wettbewerb Berliner Museumsinsel,52.5208183,13.3947453,True,,Öffentliche Gebäude - Mausoleum
Deutsches Historisches Museum,Berlin Bezirk Mitte Mitte,1988,Lage: Platz Museum für Geschichte Wettbewerb,52.519444,13.406667,True,,Öffentliche Gebäude - Palast
Haus Lützkendorf,Berlin Bezirk Steglitz-Zehlendorf Dahlem Im Schwarzen Grund18,1967–1968,Einfamilienhaus,52.4582353,13.2870827,True,,Wohngebäude - Einfamilienhaus
Meierei auf der Pfaueninsel,Berlin Bezirk Steglitz-Zehlendorf Wannsee Park Pfaueninsel,1795,Lage: Park Landwirtschaftsgebäude Ruinenarchitektur,52.434504,13.131111,True,Antike - Römische Architektur,Freizeiteinrichtungen - Park
Staatsbibliothek Berlin,Berlin Bezirk Mitte Tiergarten Potsdamer Straße33,1964,organischen Bauen Yale Akustik Sheddach Bibliothek Farbe: gelb Lesesaal Sheddach Treppe Blechfassade,52.5072321,13.3704044,True,Moderne - Organisches Bauen,
Oranienburger Tor,Berlin Bezirk Mitte Mitte Oranienburger Tor;Friedrichstraße;Chausseestraße;Torstraße;Hannoversche Straße,,Stadttor Triumphbogens Sandstein Stadttor,52.52741109999999,13.3889114,True,,Sonstige Gebäude - Stadt
Umspannwerk in Berlin-Kreuzberg,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Paul-Lincke-Ufer19-22; Ohlauer Straße 43,1924–1926,Mauerwerksfassade aus Ziegel Umspannstation,52.49618599999999,13.4302244,True,,
Neugestaltung des Alexanderplatz,Berlin Bezirk Mitte Mitte Alexanderplatz,1929,"Fassadengliederung, vertikal Fensterband Stromlinienform Platz Platzgestaltung Stadtplanung Fassadengestaltung",52.5222559,13.4132262,True,,Öffentliche Gebäude - Stadtplanung
Tierheim Berlin,Berlin Bezirk Lichtenberg Falkenberg Hausvaterweg 39-41,2000–2001,Tierheimen Sichtbeton 1-geschossig Außenraumbezug Ensemble Sichtbeton Wasserbecken Tierheim,52.5739086,13.5461379,True,,Öffentliche Gebäude - Tierheim
Kindergarten Jerusalemer Straße,Berlin Bezirk Mitte Mitte Jerusalemer Straße10/12,2000–2002,Kindergarten,52.511798,13.3968811,True,,
Berliner Fernsehturm,Berlin Bezirk Mitte Mitte Panoramastraße1A,1965–1972,Betonkonstruktion Lage: Stadt Restaurant Technikgebäude Turm Röhrentragwerk Aussichtsturm,52.52085839999999,13.4094651,True,,Öffentliche Gebäude - Technikgebäude
Volksbühne,Berlin Bezirk Mitte Mitte Linienstraße227,1910–1916,Wiederaufbau Amphitheater Solitär Theater Steinfassade,52.52691369999999,13.411792,True,,
Durchbruch der Französischen Straße und der Jägerstraße,Berlin Bezirk Mitte Mitte Französische Straße;Jägerstraße,ca. 1930,Blockrandbebauung Stromlinienform Lage: Stadt Stadtplanung Verkehr Wettbewerb,52.5140116,13.3919722,True,,Öffentliche Gebäude - Stadtplanung
Mehrfamilienhaus in Berlin-Siemensstadt (Ringsiedlung),Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg-Nord(Großsiedlung Siemensstadt) Jungfernheideweg,1929–1930,"3,5-Raum Dachterrasse Flachdach Geschosswohnung Internationaler Stil Mehrfamilienhaus Moderne Siemensstadt Zeile 4,5-geschossig",52.5375537,13.2719323,True,Moderne - Internationaler Stil,Wohngebäude - Einfamilienhaus
Straßenbahndepot Heiligensee,Berlin Bezirk Reinickendorf Heiligensee Alt-Heiligensee 73/75,1912–1913,Garage Straßenbahnverkehr,52.6059207,13.2123753,True,,
Internationales Handeslzentrum (IHZ),Berlin Bezirk Mitte Mitte Friedrichstraße95;Planckstraße,1976–1978,Hochhausbau Bürogebäude Hochhaus Baustil Moderne,52.5197344,13.3889418,True,Moderne - Postmoderne,
Sankt-Markus-Kirche,Berlin Bezirk Spandau Am Kiesteich 50,1977,römisch-katholische Johannes der Täufer Gebäudekomplex skelettbau Denkmalschutz Gartenhaus Gemeindezentrum Patrozinium Evangelisten Markus Johannes der Täufer liturgischen Zentralbaus überkuppelt Aluminium Oberlicht Bänke Mosaik Mariens Pergola Tor Campanile Kirche Glaubensrichtung: katholisch Sankt Markus,52.5493521,13.1640005,True,,Wohngebäude - Gartenhaus
Haus des Rundfunks,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Masurenallee8-14,1929,Foyer denkmalgerecht Keramikfliesen Kolonnade Foyer Linoleumbelag Stahlskelett Ziegeln Aufzug Rundfunkgebäude Baustil,52.50782,13.27649,True,,Öffentliche Gebäude - Rundfunkgebäude
Haus der Schweiz,Berlin Bezirk Mitte Mitte Unter den Linden24,1934,Denkmalschutz Stahlskelettbau Kolonnaden Bürogebäude,52.519444,13.406667,True,,Denkmalschutz - Denkmalschutz
Wohnanlage und Betriebsbahnhof,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Knobelsdorffstraße 94-122,1927–1930,,52.51312369999999,13.280641,True,,
